county,state,deaths,population,crude_rate
Autauga County, AL,34,920175,3.7
Baldwin County, AL,73,3104213,2.4
Barbour County, AL,14,499605,
Bibb County, AL,14,397480,
Blount County, AL,74,997776,7.4
Calhoun County, AL,45,2074478,2.2
Chambers County, AL,10,628932,
Cherokee County, AL,27,455087,5.9
Chilton County, AL,16,762939,
Choctaw County, AL,11,258321,
Clarke County, AL,25,472909,5.3
Coffee County, AL,20,857552,2.3
Colbert County, AL,33,980863,3.4
Conecuh County, AL,25,240060,10.4
Coosa County, AL,31,204784,15.1
Covington County, AL,19,675450,
Crenshaw County, AL,10,249207,
Cullman County, AL,96,1431088,6.7
Dale County, AL,14,891572,
Dallas County, AL,53,790398,6.7
DeKalb County, AL,31,1237877,2.5
Elmore County, AL,18,1354531,
Escambia County, AL,40,683449,5.9
Etowah County, AL,44,1864778,2.4
Fayette County, AL,19,316518,
Franklin County, AL,11,564069,
Henry County, AL,34,304556,11.2
Houston County, AL,35,1750954,2
Jackson County, AL,60,959194,6.3
Jefferson County, AL,758,11854635,6.4
Lauderdale County, AL,56,1632135,3.4
Lawrence County, AL,19,614698,
Lee County, AL,43,2418094,1.8
Limestone County, AL,38,1404371,2.7
Macon County, AL,20,391167,5.1
Madison County, AL,143,5712479,2.5
Marengo County, AL,24,382442,6.3
Marion County, AL,12,551156,
Marshall County, AL,89,1608450,5.5
Mobile County, AL,533,7321586,7.3
Monroe County, AL,46,417677,11
Montgomery County, AL,78,4070088,1.9
Morgan County, AL,93,2091395,4.4
Pike County, AL,18,569863,
Randolph County, AL,10,407079,
Russell County, AL,61,954636,6.4
St. Clair County, AL,15,1394254,
Shelby County, AL,36,3251987,1.1
Talladega County, AL,60,1464637,4.1
Tallapoosa County, AL,25,742735,3.4
Tuscaloosa County, AL,88,3331999,2.6
Walker County, AL,20,1220606,1.6
Washington County, AL,15,314819,
Winston County, AL,14,440476,
Anchorage Borough, AK,288,5086641,5.7
Bethel Census Area, AK,56,305095,18.4
Dillingham Census Area, AK,12,88068,
Fairbanks North Star Borough, AK,120,1674452,7.2
Juneau Borough, AK,28,565490,5
Kenai Peninsula Borough, AK,114,967925,11.8
Ketchikan Gateway Borough, AK,21,244924,8.6
Kodiak Island Borough, AK,12,245177,
