cause,date,canine,state
Gunfire,5/1/2014,FALSE, AK
Gunfire,5/1/2014,FALSE, AK
Aircraft accident,3/30/2013,FALSE, AK
Gunfire,3/19/2013,FALSE, AK
Gunfire,8/29/2010,FALSE, AK
Gunfire,8/28/2010,FALSE, AK
Gunfire,12/25/2003,FALSE, AK
Automobile accident,11/19/2002,FALSE, AK
Gunfire,11/24/2001,FALSE, AK
Vehicular assault,7/9/2001,FALSE, AK
Aircraft accident,6/25/2001,FALSE, AK
Gunfire,5/15/1999,FALSE, AK
Heart attack,9/16/1998,FALSE, AK
Gunfire,1/1/1998,FALSE, AK
Assault,1/10/1997,FALSE, AK
Gunfire,10/26/1996,FALSE, AK
Aircraft accident,10/11/1994,FALSE, AK
Aircraft accident,10/11/1994,FALSE, AK
Training accident,5/4/1992,FALSE, AK
Gunfire,2/12/1992,FALSE, AK
Gunfire,6/6/1989,FALSE, AK
Gunfire,10/22/1986,FALSE, AK
Gunfire,7/17/1986,FALSE, AK
Gunfire,5/10/1985,FALSE, AK
Gunfire,5/19/1984,FALSE, AK
Gunfire,1/15/1983,FALSE, AK
Exposure,1/14/1983,FALSE, AK
Gunfire,4/3/1982,FALSE, AK
Automobile accident,10/28/1980,FALSE, AK
Gunfire,4/17/1979,FALSE, AK
Gunfire,4/17/1979,FALSE, AK
Gunfire,9/8/1975,FALSE, AK
Aircraft accident,12/11/1974,FALSE, AK
Aircraft accident,12/11/1974,FALSE, AK
Gunfire,3/30/1974,FALSE, AK
Gunfire,2/18/1974,FALSE, AK
Gunfire,11/19/1972,FALSE, AK
Gunfire,12/26/1970,FALSE, AK
Gunfire,1/4/1968,FALSE, AK
Gunfire,1/30/1966,FALSE, AK
Gunfire (Accidental),10/19/1964,FALSE, AK
Aircraft accident,3/5/1964,FALSE, AK
Aircraft accident,3/5/1964,FALSE, AK
Gunfire,7/28/1960,FALSE, AK
Gunfire,1/3/1924,FALSE, AK
Gunfire,2/20/1921,FALSE, AK
Gunfire,10/4/1917,FALSE, AK
Gunfire,11/2/1908,FALSE, AK
Automobile accident,4/4/2015,FALSE, AL
Heart attack,3/17/2015,FALSE, AL
Heart attack,1/28/2015,FALSE, AL
Automobile accident,1/26/2015,FALSE, AL
Automobile accident,11/23/2014,FALSE, AL
Heart attack,10/27/2014,FALSE, AL
Heart attack,10/25/2014,FALSE, AL
Gunfire,7/7/2014,TRUE, AL
Automobile accident,4/18/2014,FALSE, AL
Automobile accident,12/20/2013,FALSE, AL
Gunfire (Accidental),11/10/2013,FALSE, AL
Automobile accident,9/17/2013,FALSE, AL
Gunfire,11/23/2012,FALSE, AL
Stabbed,2/3/2012,FALSE, AL
Heart attack,10/30/2011,FALSE, AL
Gunfire,8/25/2011,FALSE, AL
Motorcycle accident,5/21/2011,FALSE, AL
Automobile accident,3/5/2011,FALSE, AL
Heart attack,6/11/2010,FALSE, AL
Gunfire,1/1/2010,FALSE, AL
Gunfire,12/4/2009,FALSE, AL
Vehicular assault,9/24/2009,FALSE, AL
Gunfire,6/2/2009,FALSE, AL
Gunfire,4/24/2009,FALSE, AL
Automobile accident,1/25/2009,FALSE, AL
Heart attack,11/11/2008,FALSE, AL
Automobile accident,10/3/2008,FALSE, AL
Automobile accident,7/4/2008,FALSE, AL
Duty related illness,6/16/2008,FALSE, AL
Automobile accident,3/29/2008,FALSE, AL
Motorcycle accident,1/6/2008,FALSE, AL
Gunfire,12/15/2007,FALSE, AL
Fall,12/7/2007,FALSE, AL
Automobile accident,8/17/2007,FALSE, AL
Motorcycle accident,5/3/2007,FALSE, AL
Struck by vehicle,2/16/2007,FALSE, AL
Gunfire,10/23/2006,FALSE, AL
Gunfire,9/30/2006,FALSE, AL
Automobile accident,8/16/2006,FALSE, AL
Heart attack,4/7/2006,FALSE, AL
Automobile accident,9/24/2005,FALSE, AL
Automobile accident,9/23/2005,FALSE, AL
Gunfire,8/29/2005,FALSE, AL
Heart attack,4/25/2005,FALSE, AL
Gunfire,6/17/2004,FALSE, AL
Gunfire,6/17/2004,FALSE, AL
Gunfire,6/17/2004,FALSE, AL
Vehicular assault,4/8/2004,FALSE, AL
Automobile accident,2/25/2004,FALSE, AL
Struck by vehicle,2/12/2004,FALSE, AL
Gunfire (Accidental),1/14/2004,FALSE, AL
Gunfire,1/2/2004,FALSE, AL
Gunfire,1/2/2004,FALSE, AL
Gunfire,8/15/2003,FALSE, AL
Drowned,6/22/2003,FALSE, AL
Gunfire,6/7/2003,FALSE, AL
